City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Sechura,PE,-5.5569,-80.8222,64.06,87,85,8.55,overcast clouds
255,Pevek,RU,69.7008,170.3133,37.4,84,98,7.7,overcast clouds
256,Novovasylivka,UA,46.8315,35.7536,82.45,34,59,2.46,broken clouds
257,Chalons-En-Champagne,FR,48.9539,4.3672,69.24,84,43,6.62,scattered clouds
258,Yamada,JP,39.4667,141.95,78.64,75,26,3.36,scattered clouds
259,Airai,TL,-8.9266,125.4092,70.93,45,55,3.53,broken clouds
260,Ulladulla,AU,-35.35,150.4667,62.2,69,49,10.63,scattered clouds
261,Sawtell,AU,-30.3833,153.1,64.42,59,30,6.91,scattered clouds
262,Kaitangata,NZ,-46.2817,169.8464,45.91,92,97,13.2,overcast clouds
263,Lata,PT,40.1629,-8.3327,60.08,86,0,2.39,clear sky
264,Manado,ID,1.487,124.8455,92.17,49,40,9.22,scattered clouds
265,Oktyabrskoye,RU,43.0645,44.7417,73.54,53,40,2.24,scattered clouds
266,Anzhero-Sudzhensk,RU,56.081,86.0285,51.64,98,100,5.77,light rain
267,Hovd,MN,48.0056,91.6419,75.7,16,17,1.86,few clouds
268,Sawakin,SD,19.1059,37.3321,92.48,48,25,12.33,scattered clouds
269,Kidal,ML,18.4411,1.4078,86.65,38,21,6.4,few clouds
270,Saldanha,ZA,-33.0117,17.9442,50.63,54,0,10.4,clear sky
271,La Macarena,CO,2.1837,-73.7849,70.75,96,82,2.37,broken clouds
272,Peniche,PT,39.3558,-9.3811,64.29,88,0,12.3,clear sky
273,Umm Kaddadah,SD,13.6017,26.6876,83.46,55,98,16.17,overcast clouds
274,Matagami,CA,49.7502,-77.6328,62.71,94,100,9.22,overcast clouds
275,Caluquembe,AO,-13.7833,14.6833,55.51,56,6,0.27,clear sky
276,Padang,ID,-0.9492,100.3543,73.45,95,100,7.11,moderate rain
277,Quatre Cocos,MU,-20.2078,57.7625,74.08,65,11,11.48,few clouds
278,San Rafael,AR,-34.6177,-68.3301,52.52,84,100,5.86,overcast clouds
279,Lac Du Bonnet,CA,50.2536,-96.0612,51.3,86,45,6.15,scattered clouds
280,Alta Floresta,BR,-9.8756,-56.0861,67.14,52,0,1.57,clear sky
281,Orcopampa,PE,-15.2661,-72.3417,42.31,46,11,2.51,few clouds
282,Santa Cruz,BO,-17.8,-63.1667,71.06,94,40,4.61,scattered clouds
283,Sisimiut,GL,66.9395,-53.6735,44.87,86,86,7.52,overcast clouds
284,Bilma,NE,18.6853,12.9164,88.84,18,11,15.41,few clouds
285,Rio Gallegos,AR,-51.6226,-69.2181,26.65,63,0,13.8,clear sky
286,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.04,89,2,8.39,clear sky
287,Nalut,LY,30.3333,10.85,76.95,32,0,10.36,clear sky
288,Ottawa,CA,45.4112,-75.6981,72.23,96,80,6.24,broken clouds
289,Yar-Sale,RU,66.8333,70.8333,58.08,58,97,15.26,overcast clouds
290,Nanortalik,GL,60.1432,-45.2371,46.45,87,100,2.37,overcast clouds
291,North Myrtle Beach,US,33.816,-78.68,81.05,85,40,14.97,scattered clouds
292,Yellowknife,CA,62.456,-114.3525,57.56,100,89,8.99,overcast clouds
293,Phan Thiet,VN,10.9333,108.1,89.35,59,16,11.88,few clouds
294,Mantua,IT,45.1667,10.7833,83.01,68,0,1.99,clear sky
295,Colorado Springs,US,38.8339,-104.8214,64.08,90,100,5.75,overcast clouds
296,Pacific Grove,US,36.6177,-121.9166,57.31,91,100,4.61,overcast clouds
297,Araguacu,BR,-12.9306,-49.8264,71.91,40,0,4.74,clear sky
298,Ajdabiya,LY,30.7554,20.2263,82.6,48,2,13.27,clear sky
299,Whitehorse,CA,60.7161,-135.0538,53.31,87,100,10.0,overcast clouds
300,Mazagao,BR,-0.115,-51.2894,78.85,94,51,3.69,broken clouds
301,Zaysan,KZ,47.4667,84.8667,77.95,29,1,15.99,clear sky
302,Husavik,IS,66.0449,-17.3389,47.52,85,65,2.53,broken clouds
303,Niagara Falls,CA,43.1001,-79.0663,76.69,87,65,10.6,broken clouds
304,Kochubey,RU,44.3861,46.5825,80.89,40,11,16.2,few clouds
305,Znamenskoye,RU,57.1281,73.8282,68.16,57,59,4.94,broken clouds
306,Parakai,NZ,-36.65,174.4333,59.67,96,100,20.71,light rain
307,Kiunga,PG,-6.1219,141.2906,80.83,91,75,4.21,broken clouds
